time,spo2_pct,pulse_bpm
2025-06-30T20:25:00Z,96.0,
2025-07-01T13:49:00Z,94.0,
2025-07-02T15:04:00Z,95.0,
2025-07-02T19:32:00Z,95.0,
2025-07-03T15:31:00Z,94.0,
2025-07-03T19:57:00Z,93.0,
2025-07-04T15:27:00Z,94.0,
2025-07-04T21:33:00Z,93.0,
2025-07-05T16:19:00Z,95.0,
2025-07-05T23:17:00Z,95.0,
2025-07-10T14:56:00Z,94.0,
2025-07-11T15:37:00Z,94.0,
2025-07-12T00:18:00Z,94.0,
2025-07-12T16:12:00Z,94.0,
2025-07-13T16:15:00Z,95.0,
2025-07-13T18:30:00Z,92.0,
2025-07-13T21:18:00Z,94.0,
2025-07-18T19:04:00Z,97.1,
2025-07-18T19:09:00Z,98.2,
2025-07-18T19:14:00Z,98.5,
2025-07-18T19:19:00Z,98.9,
2025-07-18T19:24:00Z,99.8,
2025-07-18T19:29:00Z,100.0,
2025-07-18T19:34:00Z,99.5,
2025-07-18T19:39:00Z,98.2,
2025-07-18T19:45:00Z,96.8,
2025-07-18T19:50:00Z,96.7,
2025-07-18T19:55:00Z,97.0,
2025-07-18T20:01:00Z,98.5,
2025-07-18T20:04:00Z,98.6,
2025-07-18T20:10:00Z,97.7,
2025-07-18T20:17:00Z,97.6,
2025-07-18T20:23:00Z,96.7,
2025-07-18T20:40:00Z,97.7,
2025-07-18T20:58:00Z,96.8,
2025-07-18T21:00:00Z,97.1,
2025-07-18T21:03:00Z,97.8,
2025-07-18T21:08:00Z,97.9,
2025-07-18T21:13:00Z,97.7,
2025-07-18T21:18:00Z,97.3,
2025-07-18T21:23:00Z,97.6,
2025-07-18T21:28:00Z,97.6,
2025-07-18T21:33:00Z,97.0,
2025-07-18T21:38:00Z,96.1,
2025-07-18T21:43:00Z,95.3,
2025-07-18T21:48:00Z,94.4,
2025-07-18T21:54:00Z,95.2,
2025-07-18T22:00:00Z,95.8,
2025-07-18T22:02:00Z,97.2,
2025-07-18T22:09:00Z,97.6,
2025-07-18T22:21:00Z,95.7,
2025-07-18T22:42:00Z,97.6,
2025-07-18T22:51:00Z,95.1,
2025-07-18T22:57:00Z,95.8,
2025-07-18T23:01:00Z,94.0,
2025-07-18T23:04:00Z,95.3,
2025-07-19T17:51:00Z,97.7,
2025-07-19T17:55:00Z,98.5,
2025-07-19T18:00:00Z,97.6,
2025-07-19T18:05:00Z,97.1,
2025-07-19T18:10:00Z,96.2,
2025-07-19T18:15:00Z,95.9,
2025-07-19T18:20:00Z,95.3,
2025-07-19T18:25:00Z,95.6,
2025-07-19T18:30:00Z,95.3,
2025-07-19T18:35:00Z,95.9,
2025-07-19T18:42:00Z,98.9,
2025-07-19T18:47:00Z,99.2,
2025-07-19T18:53:00Z,98.3,
2025-07-19T18:58:00Z,97.6,
2025-07-19T19:00:00Z,97.7,
2025-07-19T19:03:00Z,97.9,
2025-07-19T19:08:00Z,97.5,
2025-07-19T19:13:00Z,98.2,
2025-07-19T19:18:00Z,97.8,
2025-07-19T19:23:00Z,96.1,
2025-07-19T19:28:00Z,94.0,
2025-07-19T19:39:00Z,94.0,
2025-07-19T20:00:00Z,99.4,
2025-07-19T20:04:00Z,97.6,
2025-07-19T20:09:00Z,95.6,
2025-07-19T20:14:00Z,95.6,
2025-07-19T20:21:00Z,95.8,
2025-07-19T20:27:00Z,95.4,
2025-07-19T21:13:00Z,97.8,
2025-07-19T21:14:00Z,98.4,
2025-07-19T21:18:00Z,97.5,
2025-07-19T21:23:00Z,97.2,
2025-07-19T21:28:00Z,96.7,
2025-07-19T21:33:00Z,97.4,
2025-07-19T21:39:00Z,97.9,
2025-07-19T21:54:00Z,100.0,
2025-07-19T22:00:00Z,100.0,
2025-07-19T22:05:00Z,100.0,
2025-07-19T22:10:00Z,100.0,
2025-07-19T22:15:00Z,98.2,
2025-07-19T22:21:00Z,99.3,
2025-07-19T22:27:00Z,100.0,
2025-07-19T22:33:00Z,100.0,
2025-11-05T14:14:00Z,99.0,79.0
2025-11-05T15:14:00Z,99.0,81.0
2025-11-05T16:29:00Z,98.0,74.5
2025-11-05T18:58:00Z,100.0,67.0
2025-11-05T19:30:00Z,99.0,94.0
2025-11-05T20:00:00Z,99.5,68.0
2025-11-05T21:00:00Z,100.0,76.0
2025-11-05T21:33:00Z,100.0,50.0
2025-11-05T22:03:00Z,98.5,70.5
2025-11-05T23:03:00Z,97.5,83.5
